Experiment        l_min  l_center   l_max      Power    Sigma_minus  Sigma_plus  Upper Limit
ACTPol                -999    500.0     -999   2211.2000    208.4000    208.4000    -999.000
ACTPol                -999    550.0     -999   2468.0000    194.7000    194.7000    -999.000
ACTPol                -999    600.0     -999   2289.3000    153.1000    153.1000    -999.000
ACTPol                -999    650.0     -999   1977.6000    134.3000    134.3000    -999.000
ACTPol                -999    700.0     -999   1870.7000    125.7000    125.7000    -999.000
ACTPol                -999    750.0     -999   2242.3000    135.5000    135.5000    -999.000
ACTPol                -999    800.0     -999   2564.3999    143.7000    143.7000    -999.000
ACTPol                -999    850.0     -999   2521.5000    137.8000    137.8000    -999.000
ACTPol                -999    900.0     -999   1902.2000     95.7000     95.7000    -999.000
ACTPol                -999    950.0     -999   1373.1000     73.8000     73.8000    -999.000
ACTPol                -999   1000.0     -999   1017.2000     62.0000     62.0000    -999.000
ACTPol                -999   1050.0     -999   1003.7000     59.6000     59.6000    -999.000
ACTPol                -999   1100.0     -999   1298.3000     60.8000     60.8000    -999.000
ACTPol                -999   1150.0     -999   1202.2000     59.0000     59.0000    -999.000
ACTPol                -999   1200.0     -999    990.8000     51.1000     51.1000    -999.000
ACTPol                -999   1250.0     -999    849.4000     38.1000     38.1000    -999.000
ACTPol                -999   1300.0     -999    654.2000     36.3000     36.3000    -999.000
ACTPol                -999   1350.0     -999    825.5000     36.4000     36.4000    -999.000
ACTPol                -999   1400.0     -999    836.3000     38.1000     38.1000    -999.000
ACTPol                -999   1450.0     -999    774.6000     36.1000     36.1000    -999.000
ACTPol                -999   1500.0     -999    645.4000     29.6000     29.6000    -999.000
ACTPol                -999   1550.0     -999    510.0000     24.1000     24.1000    -999.000
ACTPol                -999   1600.0     -999    445.0000     20.0000     20.0000    -999.000
ACTPol                -999   1650.0     -999    408.9000     19.4000     19.4000    -999.000
ACTPol                -999   1700.0     -999    377.5000     18.5000     18.5000    -999.000
ACTPol                -999   1750.0     -999    383.9000     17.3000     17.3000    -999.000
ACTPol                -999   1800.0     -999    351.0000     16.1000     16.1000    -999.000
ACTPol                -999   1850.0     -999    290.4000     14.3000     14.3000    -999.000
ACTPol                -999   1900.0     -999    247.9000     12.5000     12.5000    -999.000
ACTPol                -999   1950.0     -999    253.8000     11.8000     11.8000    -999.000
ACTPol                -999   2000.0     -999    234.2000     11.8000     11.8000    -999.000
ACTPol                -999   2075.0     -999    223.3000      7.5000      7.5000    -999.000
ACTPol                -999   2175.0     -999    151.2000      6.1000      6.1000    -999.000
ACTPol                -999   2275.0     -999    114.8000      5.1000      5.1000    -999.000
ACTPol                -999   2375.0     -999    103.7000      4.9000      4.9000    -999.000
ACTPol                -999   2475.0     -999     84.2000      4.2000      4.2000    -999.000
ACTPol                -999   2625.0     -999     63.3000      2.6000      2.6000    -999.000
ACTPol                -999   2825.0     -999     35.7000      2.3000      2.3000    -999.000
ACTPol                -999   3025.0     -999     24.9000      2.0000      2.0000    -999.000
ACTPol                -999   3325.0     -999     13.1000      1.5000      1.5000    -999.000
