#Measurements of the CMB-only TT power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
# 
#    l_center     TT    sigma_TT_minus  sigma_TT_plus
# 
        2.0     242.2       140.1         563.6
        3.0     886.2       424.2        1144.9
        4.0     728.1       307.9         697.0
        5.0    1391.6       530.0        1066.9
        6.0     542.6       191.8         357.9
        7.0    1122.7       367.3         647.2
        8.0     657.0       202.0         340.5
        9.0     649.0       191.1         310.9
       10.0     874.7       244.1         385.7
       11.0     986.0       262.2         403.9
       12.0     783.1       201.5         303.9
       13.0     678.7       168.7         250.1
       14.0     824.5       196.5         286.5
       15.0     877.4       203.1         291.8
       16.0     703.9       162.5         230.9
       17.0     881.2       193.8         272.0
       18.0     680.0       146.8         204.0
       19.0     841.8       177.6         244.4
       20.0     763.3       156.4         213.1
       21.0     670.4       136.7         184.9
       22.0     600.5       120.8         162.2
       23.0     774.0       151.0         201.3
       24.0     822.6       156.2         207.0
       25.0     848.7       160.7         211.3
       26.0     903.5       166.7         217.8
       27.0     897.5       161.8         210.5
       28.0    1142.3       201.7         261.6
       29.0    1140.0       198.3         255.5
       32.0    1108.7       117.7         117.7
            37.0    1188.2       117.3         117.3
            42.0    1437.5       118.3         118.3
            47.0    1380.1       119.8         119.8
            52.0    1333.3       122.2         122.2
            57.0    1606.1       124.5         124.5
            62.0    1677.5       127.6         127.6
            67.0    1842.7       130.9         130.9
            72.0    1987.1       134.5         134.5
            77.0    1773.1       138.4         138.4
            82.0    2175.4       143.1         143.1
            87.0    2341.9       147.5         147.5
            92.0    2459.5       152.5         152.5
            97.0    2488.0       157.3         157.3
           104.0    2962.4       119.7         119.7
           113.0    3227.5       126.5         126.5
           122.0    3388.5       133.7         133.7
           131.0    3594.2       140.7         140.7
           140.0    4233.4       147.5         147.5
           149.0    4256.0       153.3         153.3
           158.0    4782.1       158.8         158.8
           167.0    4846.0       163.6         163.6
           176.0    5127.4       167.0         167.0
           185.0    5379.6       169.2         169.2
           194.0    5550.8       170.3         170.3
           203.0    5449.3       170.2         170.2
           212.0    5636.3       168.5         168.5
           221.0    5815.2       165.5         165.5
           230.0    5689.5       161.3         161.3
           239.0    5779.7       156.2         156.2
           248.0    5433.8       150.0         150.0
           257.0    5230.8       142.6         142.6
           266.0    5091.7       135.0         135.0
           275.0    5103.4       126.5         126.5
           284.0    4548.6       118.0         118.0
           293.0    4377.3       109.1         109.1
           302.0    3933.8       100.3         100.3
           311.0    3650.9        91.6          91.6
           320.0    3411.0        83.2          83.2
           329.0    3176.7        75.4          75.4
           338.0    2844.6        68.1          68.1
           347.0    2499.1        61.5          61.5
           356.0    2359.3        55.6          55.6
           365.0    2184.5        50.6          50.6
           374.0    2039.5        46.5          46.5
           383.0    1893.0        43.1          43.1
           392.0    1787.9        40.8          40.8
           401.0    1733.1        39.1          39.1
           410.0    1739.6        38.2          38.2
           419.0    1729.8        38.0          38.0
           428.0    1769.2        38.3          38.3
           437.0    1770.1        39.0          39.0
           446.0    1856.9        40.1          40.1
           455.0    2046.1        41.4          41.4
           464.0    2224.6        42.8          42.8
           473.0    2178.9        44.2          44.2
           482.0    2324.9        45.5          45.5
           491.0    2419.8        46.7          46.7
           500.0    2447.7        47.8          47.8
           509.0    2580.0        48.4          48.4
           518.0    2557.3        48.8          48.8
           527.0    2581.8        49.0          49.0
           536.0    2523.7        48.8          48.8
           545.0    2519.6        48.1          48.1
           554.0    2564.1        47.4          47.4
           563.0    2545.2        46.2          46.2
           572.0    2413.7        44.9          44.9
           581.0    2409.5        43.4          43.4
           590.0    2373.2        41.8          41.8
           599.0    2206.1        40.2          40.2
           608.0    2118.8        38.5          38.5
           617.0    2136.2        36.9          36.9
           626.0    1953.4        35.4          35.4
           635.0    1937.7        34.1          34.1
           644.0    1857.6        32.9          32.9
           653.0    1848.9        32.1          32.1
           662.0    1849.7        31.4          31.4
           671.0    1814.8        31.0          31.0
           680.0    1761.0        30.8          30.8
           689.0    1822.5        30.9          30.9
           698.0    1887.0        31.3          31.3
           707.0    1891.3        31.8          31.8
           716.0    1909.2        32.4          32.4
           725.0    1996.2        33.3          33.3
           734.0    2051.3        34.2          34.2
           743.0    2181.4        35.1          35.1
           752.0    2258.6        36.1          36.1
           761.0    2344.8        37.0          37.0
           770.0    2348.2        37.7          37.7
           779.0    2351.7        38.4          38.4
           788.0    2483.3        38.8          38.8
           797.0    2469.0        39.1          39.1
           806.0    2495.1        39.3          39.3
           815.0    2552.4        39.1          39.1
           824.0    2520.8        38.8          38.8
           833.0    2494.2        38.3          38.3
           842.0    2504.6        37.4          37.4
           851.0    2385.8        36.4          36.4
           860.0    2353.3        35.3          35.3
           869.0    2234.2        33.9          33.9
           878.0    2167.9        32.5          32.5
           887.0    2075.7        30.9          30.9
           896.0    1951.0        29.3          29.3
           905.0    1842.7        27.7          27.7
           914.0    1747.8        26.1          26.1
           923.0    1619.5        24.6          24.6
           932.0    1560.7        23.1          23.1
           941.0    1437.1        21.7          21.7
           950.0    1341.0        20.4          20.4
           959.0    1285.2        19.3          19.3
           968.0    1233.2        18.3          18.3
           977.0    1128.8        17.6          17.6
           986.0    1105.1        16.9          16.9
           995.0    1087.3        16.4          16.4
          1004.0    1025.1        16.1          16.1
          1013.0    1078.9        16.0          16.0
          1022.0    1031.7        15.9          15.9
          1031.0    1043.5        15.9          15.9
          1040.0    1056.3        16.1          16.1
          1049.0    1080.3        16.3          16.3
          1058.0    1129.6        16.5          16.5
          1067.0    1122.2        16.8          16.8
          1076.0    1153.7        17.1          17.1
          1085.0    1217.2        17.4          17.4
          1094.0    1216.8        17.6          17.6
          1103.0    1210.0        17.7          17.7
          1112.0    1214.1        17.9          17.9
          1121.0    1247.1        17.9          17.9
          1130.0    1235.5        17.9          17.9
          1139.0    1214.7        17.8          17.8
          1148.0    1213.1        17.6          17.6
          1157.0    1220.4        17.3          17.3
          1166.0    1160.3        17.0          17.0
          1175.0    1142.0        16.7          16.7
          1184.0    1134.0        16.2          16.2
          1193.0    1085.3        15.7          15.7
          1202.0    1005.6        15.5          15.5
          1211.0     974.9        15.0          15.0
          1220.0     969.8        14.5          14.5
          1229.0     906.5        13.9          13.9
          1238.0     895.9        13.5          13.5
          1247.0     859.9        13.1          13.1
          1256.0     807.3        12.7          12.7
          1265.0     777.6        12.3          12.3
          1274.0     771.2        12.1          12.1
          1283.0     737.7        11.8          11.8
          1292.0     757.6        11.7          11.7
          1301.0     732.9        11.6          11.6
          1310.0     711.9        11.6          11.6
          1319.0     720.5        11.6          11.6
          1328.0     724.1        11.6          11.6
          1337.0     757.6        11.7          11.7
          1346.0     737.3        11.9          11.9
          1355.0     765.1        12.0          12.0
          1364.0     777.6        12.1          12.1
          1373.0     775.5        12.3          12.3
          1382.0     774.2        12.5          12.5
          1391.0     805.3        12.6          12.6
          1400.0     830.6        12.7          12.7
          1409.0     821.2        12.8          12.8
          1418.0     818.9        12.8          12.8
          1427.0     795.3        12.8          12.8
          1436.0     801.6        12.8          12.8
          1445.0     798.6        12.8          12.8
          1454.0     771.8        12.7          12.7
          1463.0     762.4        12.6          12.6
          1472.0     751.4        12.4          12.4
          1481.0     737.8        12.2          12.2
          1490.0     726.4        12.0          12.0
          1499.0     703.9        11.8          11.8
          1512.0     655.2         9.2           9.2
          1529.0     587.7         9.0           9.0
          1546.0     548.2         8.8           8.8
          1563.0     503.7         8.7           8.7
          1580.0     468.2         8.6           8.6
          1597.0     428.9         8.5           8.5
          1614.0     407.5         8.6           8.6
          1631.0     398.5         8.7           8.7
          1648.0     389.9         8.8           8.8
          1665.0     391.5         8.9           8.9
          1682.0     383.8         9.1           9.1
          1699.0     398.8         9.3           9.3
          1716.0     395.2         9.4           9.4
          1733.0     408.2         9.6           9.6
          1750.0     377.2         9.8           9.8
          1767.0     379.9         9.9           9.9
          1784.0     374.3        10.0          10.0
          1801.0     361.3        10.1          10.1
          1818.0     341.6        10.2          10.2
          1835.0     314.1        10.4          10.4
          1852.0     305.8        10.5          10.5
          1869.0     275.4        10.6          10.6
          1886.0     267.6        10.8          10.8
          1903.0     247.6        10.9          10.9
          1920.0     255.3        11.2          11.2
          1937.0     243.5        11.4          11.4
          1954.0     233.2        11.6          11.6
          1971.0     230.0        11.8          11.8
          1988.0     225.3        12.1          12.1
          2005.0     241.7        12.6          12.6
          2030.0     233.4        11.8          11.8
          2063.0     216.4        12.2          12.2
          2096.0     206.4        12.7          12.7
          2129.0     198.4        13.2          13.2
          2162.0     169.4        13.7          13.7
          2195.0     141.2        14.2          14.2
          2228.0     132.3        14.8          14.8
          2261.0     117.8        15.4          15.4
          2294.0     117.3        16.1          16.1
          2327.0     110.5        16.9          16.9
          2360.0     114.9        17.7          17.7
          2393.0     122.5        18.7          18.7
          2426.0      83.8        19.6          19.6
          2459.0      84.1        20.7          20.7
